Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Confidence	TP	FP	FN	Comments
1	Spectrogram 1	1	0.000000	1.000000	0	22000	1762821888_48000_12.flac	2.1627734e-06				
2	Spectrogram 1	1	1.000000	2.000000	0	22000	1762821888_48000_12.flac	3.1432235e-06				
3	Spectrogram 1	1	2.000000	3.000000	0	22000	1762821888_48000_12.flac	1.0791952e-05				
4	Spectrogram 1	1	3.000000	4.000000	0	22000	1762821888_48000_12.flac	1.376661e-05				
5	Spectrogram 1	1	4.000000	5.000000	0	22000	1762821888_48000_12.flac	3.5066487e-06				
6	Spectrogram 1	1	5.000000	6.000000	0	22000	1762821888_48000_12.flac	5.61632e-06				
7	Spectrogram 1	1	6.000000	7.000000	0	22000	1762821888_48000_12.flac	9.411936e-06				
8	Spectrogram 1	1	7.000000	8.000000	0	22000	1762821888_48000_12.flac	0.00819169				
9	Spectrogram 1	1	8.000000	9.000000	0	22000	1762821888_48000_12.flac	6.4611636e-06				
10	Spectrogram 1	1	9.000000	10.000000	0	22000	1762821888_48000_12.flac	1.2898942e-05				
11	Spectrogram 1	1	10.000000	11.000000	0	22000	1762821888_48000_12.flac	1.3332147e-05				
12	Spectrogram 1	1	11.000000	12.000000	0	22000	1762821888_48000_12.flac	4.8424045e-06				
13	Spectrogram 1	1	0.000000	1.000000	0	22000	1762821888_48000_12.flac	2.1627734e-06				
14	Spectrogram 1	1	1.000000	2.000000	0	22000	1762821888_48000_12.flac	3.1432235e-06				
15	Spectrogram 1	1	2.000000	3.000000	0	22000	1762821888_48000_12.flac	1.0791952e-05				
16	Spectrogram 1	1	3.000000	4.000000	0	22000	1762821888_48000_12.flac	1.376661e-05				
17	Spectrogram 1	1	4.000000	5.000000	0	22000	1762821888_48000_12.flac	3.5066487e-06				
18	Spectrogram 1	1	5.000000	6.000000	0	22000	1762821888_48000_12.flac	5.61632e-06				
19	Spectrogram 1	1	6.000000	7.000000	0	22000	1762821888_48000_12.flac	9.411936e-06				
20	Spectrogram 1	1	7.000000	8.000000	0	22000	1762821888_48000_12.flac	0.00819169				
21	Spectrogram 1	1	8.000000	9.000000	0	22000	1762821888_48000_12.flac	6.4611636e-06				
22	Spectrogram 1	1	9.000000	10.000000	0	22000	1762821888_48000_12.flac	1.2898942e-05				
23	Spectrogram 1	1	10.000000	11.000000	0	22000	1762821888_48000_12.flac	1.3332147e-05				
24	Spectrogram 1	1	11.000000	12.000000	0	22000	1762821888_48000_12.flac	4.8424045e-06				
