Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Confidence	TP	FP	FN	Comments
1	Spectrogram 1	1	0.000000	1.000000	0	22000	1762998833_48000_12.flac	4.349225e-06				
2	Spectrogram 1	1	1.000000	2.000000	0	22000	1762998833_48000_12.flac	1.3398851e-06				
3	Spectrogram 1	1	2.000000	3.000000	0	22000	1762998833_48000_12.flac	3.7736038e-06				
4	Spectrogram 1	1	3.000000	4.000000	0	22000	1762998833_48000_12.flac	0.8542308				
5	Spectrogram 1	1	4.000000	5.000000	0	22000	1762998833_48000_12.flac	6.0641787e-06				
6	Spectrogram 1	1	5.000000	6.000000	0	22000	1762998833_48000_12.flac	1.3109755e-05				
7	Spectrogram 1	1	6.000000	7.000000	0	22000	1762998833_48000_12.flac	3.8129806e-06				
8	Spectrogram 1	1	7.000000	8.000000	0	22000	1762998833_48000_12.flac	1.6272364e-06				
9	Spectrogram 1	1	8.000000	9.000000	0	22000	1762998833_48000_12.flac	2.29328e-06				
10	Spectrogram 1	1	9.000000	10.000000	0	22000	1762998833_48000_12.flac	2.621843e-05				
11	Spectrogram 1	1	10.000000	11.000000	0	22000	1762998833_48000_12.flac	1.7776606e-06				
12	Spectrogram 1	1	11.000000	12.000000	0	22000	1762998833_48000_12.flac	7.147013e-07				
13	Spectrogram 1	1	0.000000	1.000000	0	22000	1762998833_48000_12.flac	4.349225e-06				
14	Spectrogram 1	1	1.000000	2.000000	0	22000	1762998833_48000_12.flac	1.3398851e-06				
15	Spectrogram 1	1	2.000000	3.000000	0	22000	1762998833_48000_12.flac	3.7736038e-06				
16	Spectrogram 1	1	3.000000	4.000000	0	22000	1762998833_48000_12.flac	0.8542308				
17	Spectrogram 1	1	4.000000	5.000000	0	22000	1762998833_48000_12.flac	6.0641787e-06				
18	Spectrogram 1	1	5.000000	6.000000	0	22000	1762998833_48000_12.flac	1.3109755e-05				
19	Spectrogram 1	1	6.000000	7.000000	0	22000	1762998833_48000_12.flac	3.8129806e-06				
20	Spectrogram 1	1	7.000000	8.000000	0	22000	1762998833_48000_12.flac	1.6272364e-06				
21	Spectrogram 1	1	8.000000	9.000000	0	22000	1762998833_48000_12.flac	2.29328e-06				
22	Spectrogram 1	1	9.000000	10.000000	0	22000	1762998833_48000_12.flac	2.621843e-05				
23	Spectrogram 1	1	10.000000	11.000000	0	22000	1762998833_48000_12.flac	1.7776606e-06				
24	Spectrogram 1	1	11.000000	12.000000	0	22000	1762998833_48000_12.flac	7.147013e-07				
